"GM18558","GM18960","GM19240","Judith","Leo","Maryke"
"MER61B",50,29,0,44,18,17
"MER61C",27,7,0,73,21,10
"MER61D",22,6,61,355,138,90
"MER61E",31,18,0,85,36,24
"MER61F",23,11,0,53,15,7
"MER63A",196,86,83,707,307,154
"MER63B",212,81,78,442,118,187
"MER63C",98,70,88,555,297,175
"MER63D",160,72,21,326,156,177
"MER65-int",124,48,80,558,163,134
"MER65A",108,71,46,1614,1014,560
"MER65B",32,12,0,28,13,6
"MER65C",53,79,31,84,29,34
"MER65D",46,31,12,150,60,32
"MER66-int",109,47,0,1473,712,587
"MER66A",66,52,34,422,306,115
"MER66B",108,26,45,297,113,102
"MER66C",59,23,59,2060,1035,545
"MER66D",30,13,9,48,13,1
"MER67A",87,87,70,49,12,4
"MER67B",99,58,58,396,230,155
"MER67C",227,115,99,291,104,72
"MER67D",26,30,19,351,129,135
"MER68-int",230,148,76,42,6,16
"MER68",599,237,283,843,267,119
"MER68B",148,42,133,178,80,48
"MER6",124,75,50,423,123,134
"MER6A",173,94,4,313,140,83
"MER6B",105,55,46,696,258,169
"MER6C",18,10,9,29,5,6
"MER70-int",109,79,20,661,180,446
"MER70A",45,12,0,242,79,43
"MER70B",15,6,0,229,116,69
"MER70C",15,2,53,44,12,17
"MER72",200,86,77,189,81,34
"MER72B",6,10,0,15,9,1
"MER73",21,4,8,52,52,22
