"gene","Guchi","Jaqo","Jingjing"
"551","ENSPPYG00000001594",23,42,3
"552","ENSPPYG00000001595",114,121,60
"553","ENSPPYG00000001598",166,134,185
"554","ENSPPYG00000001599",5,5,24
"555","ENSPPYG00000001601",21,30,324
"556","ENSPPYG00000001602",25,24,19
"557","ENSPPYG00000001604",7,10,16
"558","ENSPPYG00000001605",123,165,17
"559","ENSPPYG00000001606",127,123,182
"560","ENSPPYG00000001611",19,19,14
"561","ENSPPYG00000001617",18,31,27
"562","ENSPPYG00000001618",40,51,60
"563","ENSPPYG00000001621",14,25,6
"564","ENSPPYG00000001624",336,255,45
"565","ENSPPYG00000001628",13,14,31
"566","ENSPPYG00000001629",23,45,9
"567","ENSPPYG00000001631",17,23,10
"568","ENSPPYG00000001634",29,47,12
"569","ENSPPYG00000001635",12,7,11
"570","ENSPPYG00000001636",8,28,6
"571","ENSPPYG00000001639",11,15,64
"572","ENSPPYG00000001643",9,24,16
"573","ENSPPYG00000001644",40,49,193
"574","ENSPPYG00000001648",9,11,20
"575","ENSPPYG00000001651",70,91,26
"576","ENSPPYG00000001652",24,34,12
"577","ENSPPYG00000001654",35,38,15
"578","ENSPPYG00000001658",4,7,28
"579","ENSPPYG00000001667",8,18,12
"580","ENSPPYG00000001668",30,38,16
"581","ENSPPYG00000001669",10,17,12
"582","ENSPPYG00000001673",149,109,709
"583","ENSPPYG00000001676",32,36,87
"584","ENSPPYG00000001678",15,14,9
"585","ENSPPYG00000001680",16,25,4
"586","ENSPPYG00000001681",83,72,29
"587","ENSPPYG00000001682",110,90,151
"588","ENSPPYG00000001683",9,12,10
"589","ENSPPYG00000001688",7,8,23
"590","ENSPPYG00000001689",66,88,94
"591","ENSPPYG00000001692",2,2,7
"592","ENSPPYG00000001693",17,6,327
"593","ENSPPYG00000001699",2,9,1
"594","ENSPPYG00000001700",174,143,202
"595","ENSPPYG00000001704",15,19,16
"596","ENSPPYG00000001707",5,4,13
"597","ENSPPYG00000001708",6,4,9
"598","ENSPPYG00000001709",12,31,10
"599","ENSPPYG00000001711",23,74,22
"600","ENSPPYG00000001712",21,35,21
"601","ENSPPYG00000001713",85,170,142
"602","ENSPPYG00000001714",10,48,11
"603","ENSPPYG00000001715",19,42,18
"604","ENSPPYG00000001716",24,41,14
"605","ENSPPYG00000001726",25,35,30
"606","ENSPPYG00000001731",25,9,2
"607","ENSPPYG00000001732",35,48,56
"608","ENSPPYG00000001734",22,42,17
"609","ENSPPYG00000001735",42,49,13
"610","ENSPPYG00000001736",1352,1778,5157
"611","ENSPPYG00000001738",6,28,19
"612","ENSPPYG00000001741",1,4,5
"613","ENSPPYG00000001744",73,80,17
"614","ENSPPYG00000001747",18,44,18
"615","ENSPPYG00000001755",166,211,51
"616","ENSPPYG00000001758",26,43,44
"617","ENSPPYG00000001761",12,55,17
"618","ENSPPYG00000001764",23,23,25
"619","ENSPPYG00000001765",21,44,7
"620","ENSPPYG00000001768",184,159,19
"621","ENSPPYG00000001788",53,37,271
"622","ENSPPYG00000001789",198,166,96
"623","ENSPPYG00000001791",7,5,12
"624","ENSPPYG00000001792",40,64,45
"625","ENSPPYG00000001795",78,42,133
"626","ENSPPYG00000001796",11,17,6
"627","ENSPPYG00000001797",16,23,20
"628","ENSPPYG00000001798",12,20,10
"629","ENSPPYG00000001812",60,74,137
"630","ENSPPYG00000001813",7,12,16
"631","ENSPPYG00000001815",1,1,3
"632","ENSPPYG00000001819",66,56,53
"633","ENSPPYG00000001820",3,2,6
"634","ENSPPYG00000001821",26,37,36
"635","ENSPPYG00000001822",6,12,7
"636","ENSPPYG00000001826",5,3,22
"637","ENSPPYG00000001830",2,3,7
"638","ENSPPYG00000001833",11,15,88
"639","ENSPPYG00000001834",7,14,10
"640","ENSPPYG00000001836",86,167,212
"641","ENSPPYG00000001840",22,37,17
"642","ENSPPYG00000001841",5,7,8
"643","ENSPPYG00000001843",5,10,4
"644","ENSPPYG00000001844",17,20,11
"645","ENSPPYG00000001854",2,19,17
"646","ENSPPYG00000001868",13,21,148
"647","ENSPPYG00000001869",6,7,13
"648","ENSPPYG00000001870",5,16,29
"649","ENSPPYG00000001871",29,12,11
"650","ENSPPYG00000001872",15,25,116
"651","ENSPPYG00000001873",30,44,10
"652","ENSPPYG00000001874",23,23,3
